Month,Total Sales,Total Credit Sales,Total Cash Sales,Collections from Credit Sales,Total Expenses,Total Cash Expenses,Total Credit Expenses,Cash Paid for Credit Expenses
2022-01,100000,60000,40000,24000,80000,48000,32000,14400
2022-02,105000,63000,42000,25200,82000,49200,32800,14760
2022-03,110000,66000,44000,26400,85000,51000,34000,15300
2022-04,115000,69000,46000,27600,87000,52200,34800,15660
2022-05,80500,48300,32200,19380,60900,36540,24360,10962
2022-06,80500,48300,32200,19380,60900,36540,24360,10962
2022-07,80500,48300,32200,19380,60900,36540,24360,10962
2022-08,80500,48300,32200,19380,60900,36540,24360,10962
2022-09,80500,48300,32200,19380,60900,36540,24360,10962
2022-10,115000,69000,46000,27600,87000,52200,34800,15660
2022-11,120000,72000,48000,28800,90000,54000,36000,16200
2022-12,125000,75000,50000,30000,93000,55800,37200,16740
2023-01,130000,78000,52000,31200,96000,57600,38400,17280
2023-02,135000,81000,54000,32400,99000,59400,39600,17820
2023-03,140000,84000,56000,33600,102000,61200,40800,18360
2023-04,145000,87000,58000,34800,105000,63000,42000,18900
2023-05,101500,60900,40600,24360,73500,44100,29400,13230
2023-06,101500,60900,40600,24360,73500,44100,29400,13230
2023-07,101500,60900,40600,24360,73500,44100,29400,13230
2023-08,101500,60900,40600,24360,73500,44100,29400,13230
2023-09,101500,60900,40600,24360,73500,44100,29400,13230
2023-10,145000,87000,58000,34800,105000,63000,42000,18900
2023-11,150000,90000,60000,36000,108000,64800,43200,19440
2023-12,155000,93000,62000,37200,111000,66600,44400,19980
2024-01,160000,96000,64000,38400,114000,68400,45600,20520
2024-02,165000,99000,66000,39600,117000,70200,46800,21060
2024-03,170000,102000,68000,40800,120000,72000,48000,21600
2024-04,175000,105000,70000,42000,123000,73800,49200,22140
2024-05,122500,73500,49000,29400,86000,51600,34400,15540
2024-06,122500,73500,49000,29400,86000,51600,34400,15540
2024-07,122500,73500,49000,29400,86000,51600,34400,15540
2024-08,122500,73500,49000,29400,86000,51600,34400,15540
2024-09,122500,73500,49000,29400,86000,51600,34400,15540
2024-10,175000,105000,70000,42000,123000,73800,49200,22140
2024-11,180000,108000,72000,43200,126000,75600,50400,22680
2024-12,185000,111000,74000,44400,129000,77400,51600,23220